term,pattern,cosl_decade,total_count,n_reports,total_words,total_instruments,decade_start,per_10000_words,count_per_report,count_per_instrument
action_taken,\baction\s+taken\b,1954-1963,48,21,198991,,1954,2.4121693945957356,2.2857142857142856,
action_taken,\baction\s+taken\b,1964-1973,55,21,394526,,1964,1.3940779568393464,2.619047619047619,
action_taken,\baction\s+taken\b,1974-1983,343,53,1364964,,1974,2.512886786757746,6.471698113207547,
action_taken,\baction\s+taken\b,1984-1993,118,39,490089,,1984,2.407725943655132,3.0256410256410255,
action_taken,\baction\s+taken\b,1994-2003,141,44,395985,,1994,3.5607409371567105,3.2045454545454546,
action_taken,\baction\s+taken\b,2004-2013,373,61,332577,,2004,11.215447851174314,6.114754098360656,
action_taken,\baction\s+taken\b,2014-2023,735,84,556835,,2014,13.199601318164268,8.75,
delay_exact,\bdelay\b,1954-1963,176,21,198991,,1954,8.844621113517697,8.380952380952381,
delay_exact,\bdelay\b,1964-1973,241,21,394526,,1964,6.108596138150591,11.476190476190476,
delay_exact,\bdelay\b,1974-1983,1327,53,1364964,,1974,9.721868122529239,25.037735849056602,
delay_exact,\bdelay\b,1984-1993,407,39,490089,,1984,8.304614059895243,10.435897435897436,
delay_exact,\bdelay\b,1994-2003,461,44,395985,,1994,11.641855120774776,10.477272727272727,
delay_exact,\bdelay\b,2004-2013,623,61,332577,,2004,18.732504051693294,10.21311475409836,
delay_exact,\bdelay\b,2014-2023,442,84,556835,,2014,7.937719432147763,5.261904761904762,
delay_family,\b(delays?|delayed|delaying)\b,1954-1963,184,21,198991,,1954,9.24664934595032,8.761904761904763,
delay_family,\b(delays?|delayed|delaying)\b,1964-1973,285,21,394526,,1964,7.223858503622068,13.571428571428571,
delay_family,\b(delays?|delayed|delaying)\b,1974-1983,1575,53,1364964,,1974,11.538765857561078,29.71698113207547,
delay_family,\b(delays?|delayed|delaying)\b,1984-1993,541,39,490089,,1984,11.038811317944292,13.871794871794872,
delay_family,\b(delays?|delayed|delaying)\b,1994-2003,583,44,395985,,1994,14.722779903279164,13.25,
delay_family,\b(delays?|delayed|delaying)\b,2004-2013,723,61,332577,,2004,21.739326531900883,11.852459016393443,
delay_family,\b(delays?|delayed|delaying)\b,2014-2023,537,84,556835,,2014,9.643790350822057,6.392857142857143,
recruitment,\brecruitment\b,1954-1963,51,21,198991,,1954,2.5629299817579687,2.4285714285714284,
recruitment,\brecruitment\b,1964-1973,745,21,394526,,1964,18.883419597187512,35.476190476190474,
recruitment,\brecruitment\b,1974-1983,2799,53,1364964,,1974,20.506035324008547,52.81132075471698,
recruitment,\brecruitment\b,1984-1993,594,39,490089,,1984,12.120247546874138,15.23076923076923,
recruitment,\brecruitment\b,1994-2003,841,44,395985,,1994,21.23817821382123,19.113636363636363,
recruitment,\brecruitment\b,2004-2013,515,61,332577,,2004,15.485135773069093,8.442622950819672,
recruitment,\brecruitment\b,2014-2023,920,84,556835,,2014,16.521949949266837,10.952380952380953,
