doc_id,filename,year,cosl_decade,raw_word_count,term,pattern,count
13_subordinate_legislation_10_2002,13_Subordinate_Legislation_10_2002.txt,2002,1994-2003,3356,delay_exact,\bdelay\b,5
13_subordinate_legislation_10_2002,13_Subordinate_Legislation_10_2002.txt,2002,1994-2003,3356,delay_family,\b(delays?|delayed|delaying)\b,7
13_subordinate_legislation_10_2002,13_Subordinate_Legislation_10_2002.txt,2002,1994-2003,3356,action_taken,\baction\s+taken\b,0
13_subordinate_legislation_10_2002,13_Subordinate_Legislation_10_2002.txt,2002,1994-2003,3356,recruitment,\brecruitment\b,27
13_subordinate_legislation_11_2002,13_Subordinate_Legislation_11_2002.txt,2002,1994-2003,3287,delay_exact,\bdelay\b,0
13_subordinate_legislation_11_2002,13_Subordinate_Legislation_11_2002.txt,2002,1994-2003,3287,delay_family,\b(delays?|delayed|delaying)\b,0
13_subordinate_legislation_11_2002,13_Subordinate_Legislation_11_2002.txt,2002,1994-2003,3287,action_taken,\baction\s+taken\b,0
13_subordinate_legislation_11_2002,13_Subordinate_Legislation_11_2002.txt,2002,1994-2003,3287,recruitment,\brecruitment\b,32
13_subordinate_legislation_12_2003,13_Subordinate_Legislation_12_2003.txt,2003,1994-2003,5345,delay_exact,\bdelay\b,27
13_subordinate_legislation_12_2003,13_Subordinate_Legislation_12_2003.txt,2003,1994-2003,5345,delay_family,\b(delays?|delayed|delaying)\b,27
13_subordinate_legislation_12_2003,13_Subordinate_Legislation_12_2003.txt,2003,1994-2003,5345,action_taken,\baction\s+taken\b,0
13_subordinate_legislation_12_2003,13_Subordinate_Legislation_12_2003.txt,2003,1994-2003,5345,recruitment,\brecruitment\b,8
13_subordinate_legislation_13_2003,13_Subordinate_Legislation_13_2003.txt,2003,1994-2003,4118,delay_exact,\bdelay\b,7
13_subordinate_legislation_13_2003,13_Subordinate_Legislation_13_2003.txt,2003,1994-2003,4118,delay_family,\b(delays?|delayed|delaying)\b,11
