variant,topic,topic_family,matched_seed_terms,top_keywords
baseline_remove_short,9,ayush_traditional_medicine,"ayurveda, ayush, homeopathy, medical, medicine","medical, ayush, council, ayurveda, homeopathy, medicine, colleges, students, doctors, medical council"
documented_clean_final,8,ayush_traditional_medicine,"ayurveda, ayush, homeopathy, medical, medicine","medical, ayush, ayurveda, council, homeopathy, medicine, colleges, students, medical council, doctors"
keep_short,10,ayush_traditional_medicine,"ayurveda, ayush, homeopathy, medical, medicine","medical, ayush, council, ayurveda, colleges, homeopathy, medicine, students, doctors, medical council"
keep_short_remove_years,7,ayush_traditional_medicine,"ayurveda, ayush, homeopathy, medical, medicine","medical, ayush, ayurveda, council, homeopathy, medicine, colleges, students, medical council, doctors"
baseline_remove_short,0,delay_laying_framing,rules,"1976, 1975, 1977, 1974, department, 1973, order, rules 1976, retrospective, rules 1975"
baseline_remove_short,1,delay_laying_framing,"delay, rules","2008, rules 2008, 2010, 2009, 2007, 2005, 2006, competition, delay, chairman"
baseline_remove_short,2,delay_laying_framing,rules,"2021, 2022, observations recommendations, 2017, 2020, appellate tribunal, appellant, appellate, rules 2017, recommendations contained"
baseline_remove_short,3,delay_laying_framing,"regulations, rules","1992, 1991, 1993, surface, port, surface transport, 1994, rules 1992, transport, regulations"
baseline_remove_short,4,delay_laying_framing,rules,"2014, recruitment, recruitment rules, 2013, group, tasking, multi tasking, 2015, tasking staff, posts"
baseline_remove_short,5,delay_laying_framing,laid,"1957, 1958, section, bye, 1954, central, board, 1959, 1955, 1956"
baseline_remove_short,6,delay_laying_framing,"delay, rules","2010, 2012, 2011, 2009, 2013, department, rules 2010, delay, rules 2009, karunakaran"
baseline_remove_short,8,delay_laying_framing,rules,"2004, contained thirteenth, rules 2004, 2010, science technology, thirteenth, 2004 2004, 2005, department science, science"
baseline_remove_short,10,delay_laying_framing,"framed, framing, laid, laying, regulations, rules","2023, 2022, 2021, regulations, dated 2023, framing, chairperson, rules regulations, national green, green tribunal"
baseline_remove_short,11,delay_laying_framing,rules,"1969, 1968, 1971, 1970, service, rules 1969, 1972, railway, 1967, recruitment"
baseline_remove_short,12,delay_laying_framing,rules,"1978, 1980, 1979, department, 1983, 1981, 1982, recruitment, rules 1978, service"
baseline_remove_short,13,delay_laying_framing,regulations,"2016, irdai, regulations, regulations 2016, insurance, solvency, actuary, appointed actuary, solvency margin, regulatory development"
baseline_remove_short,14,delay_laying_framing,regulations,"pension, pension scheme, employees, scheme, option, salary, pension regulations, average, employees pension, bank"
baseline_remove_short,16,delay_laying_framing,rules,"2002, 1997, 1996, 2003, 2000, recruitment, 2001, 1998, 1995, 1999"
baseline_remove_short,17,delay_laying_framing,regulations,"customs, commissioner customs, 2018, commissioner, manifest, regulations 2018, 2021, transhipment, regulations, carrier"
baseline_remove_short,19,delay_laying_framing,rules,"ombudsman, insurance ombudsman, insurance, ombudsman rules, rules 2017, insurers, 2017, complaints, ecoi, department financial"
documented_clean_final,0,delay_laying_framing,rules,"act, recruitment, service, order, recruitment rules, early, date, amend, effect, desire"
documented_clean_final,1,delay_laying_framing,rules,"recruitment, recruitment rules, tasking, multi tasking, tasking staff, posts, group, multi, post, xx"
documented_clean_final,2,delay_laying_framing,"delay, framed, framing, laid, laying, rules","act, framing, framed, national, real estate, aiims, framing rules, delay, laid, estate"
documented_clean_final,3,delay_laying_framing,rules,"contained thirteenth, science technology, thirteenth, science, technology, hissar group, hissar, technical rules, makhana, makhana grading"
documented_clean_final,4,delay_laying_framing,rules,"ifs, service, promotion, cadre, grade, officers, foreign service, indian foreign, foreign, external"
documented_clean_final,9,delay_laying_framing,laid,"act, bye, board, cantonment, bye laws, order, laws, orders, state, laid"
documented_clean_final,12,delay_laying_framing,rules,"recruitment, recruitment rules, probation, gsr, direct recruits, promotees, recruits, contract, group, engineers"
documented_clean_final,14,delay_laying_framing,rules,"consumer, food, public distribution, food public, consumer affairs, distribution, vegetable, packages, affairs food, consumer protection"
documented_clean_final,15,delay_laying_framing,rules,"ombudsman, insurance ombudsman, insurance, ombudsman rules, insurers, ecoi, complaints, xx, xx xx, financial services"
documented_clean_final,16,delay_laying_framing,"delay, rules","gsr, delay, final, chairman, notification, publication, rules gsr, objections, months, objections suggestions"
documented_clean_final,18,delay_laying_framing,rules,"appellant, appellate tribunal, defect, tribunal, appellate, appeal, appellant rectify, recruitment placement, registrar, seafarers"
documented_clean_final,19,delay_laying_framing,rules,"nuclear, liability, clnd, atomic energy, operator, atomic, supplier, nuclear damage, clnd act, rule 24"
keep_short,0,delay_laying_framing,rules,"1977, 1976, 1975, department, 1978, 1974, act, recruitment, service, order"
keep_short,1,delay_laying_framing,"delay, laid, laying, rules","2005, 2003, 2004, 2006, 2002, 2007, notification, delay, laid, gsr"
keep_short,2,delay_laying_framing,rules,"xx, xx xx, 2021, 2017, observations recommendations, 2022, 2020, ombudsman, rules 2017, insurance ombudsman"
keep_short,3,delay_laying_framing,"regulations, rules","1992, 1991, 1993, surface, port, gsr, surface transport, 1992 gsr, 1994, tbe"
keep_short,4,delay_laying_framing,laid,"act, 1957, 1958, section, bye, central, state, 1954, 1959, 1953"
keep_short,5,delay_laying_framing,rules,"2014, 2013, recruitment, recruitment rules, 2015, tasking, multi tasking, rules 2013, tasking staff, group"
keep_short,6,delay_laying_framing,"delay, rules","2010, 2012, 2011, 2009, 2013, gsr, 2010 gsr, 2009 gsr, department, rules 2010"
keep_short,7,delay_laying_framing,rules,"contained thirteenth, 2004, 2010, rules 2004, science technology, thirteenth, science, department science, hissar, hissar group"
keep_short,8,delay_laying_framing,rules,"1997, recruitment, 1996, 2000, 1995, 1998, 2002, recruitment rules, 1999, probation"
keep_short,9,delay_laying_framing,rules,"tbe, 1983, 1980, 1978, 1982, 1981, 1984, 1979, department, 1985"
