left_variant,left_topic,right_variant,right_topic,keyword_jaccard_top_terms,document_jaccard_assignments,combined_score,left_keywords,right_keywords
baseline_remove_short,7,keep_short,11,1.0,1.0,1.0,"tobacco, tobacco products, cigarettes, bidi, health, warnings, products, smoking, warning, beedi","tobacco, tobacco products, cigarettes, bidi, warnings, health, products, smoking, beedi, warning"
baseline_remove_short,9,keep_short,10,1.0,0.8,0.9,"medical, ayush, council, ayurveda, homeopathy, medicine, colleges, students, doctors, medical council","medical, ayush, council, ayurveda, colleges, homeopathy, medicine, students, doctors, medical council"
baseline_remove_short,11,keep_short,18,1.0,0.7666666666666667,0.8833333333333333,"1969, 1968, 1971, 1970, service, rules 1969, 1972, railway, 1967, recruitment","1969, 1968, 1971, 1970, service, 1972, rules 1969, railway, 1967, recruitment"
baseline_remove_short,4,keep_short,5,0.8571428571428571,0.7692307692307693,0.8131868131868132,"2014, recruitment, recruitment rules, 2013, group, tasking, multi tasking, 2015, tasking staff, posts","2014, 2013, recruitment, recruitment rules, 2015, tasking, multi tasking, rules 2013, tasking staff, group"
baseline_remove_short,17,keep_short,13,1.0,0.625,0.8125,"customs, commissioner customs, 2018, commissioner, manifest, regulations 2018, 2021, transhipment, regulations, carrier","customs, commissioner customs, commissioner, 2018, manifest, transhipment, regulations 2018, regulations, carrier, 2021"
baseline_remove_short,13,keep_short,12,0.8,0.8,0.8,"2016, irdai, regulations, regulations 2016, insurance, solvency, actuary, appointed actuary, solvency margin, regulatory development","2016, irdai, regulations, insurance, regulations 2016, solvency, actuary, appointed actuary, regulatory development, insurance regulatory"
baseline_remove_short,3,keep_short,3,0.5714285714285714,0.88,0.7257142857142858,"1992, 1991, 1993, surface, port, surface transport, 1994, rules 1992, transport, regulations","1992, 1991, 1993, surface, port, gsr, surface transport, 1992 gsr, 1994, tbe"
baseline_remove_short,18,keep_short,19,0.625,0.8,0.7125,"waste, 2017, 2016, real estate, 2018, rera, aiims, estate, real, waste management","waste, 2017, 2016, act, real estate, aiims, waste management, information technology, 2018, auction"
baseline_remove_short,8,keep_short,7,0.7058823529411765,0.7142857142857143,0.7100840336134454,"2004, contained thirteenth, rules 2004, 2010, science technology, thirteenth, 2004 2004, 2005, department science, science","contained thirteenth, 2004, 2010, rules 2004, science technology, thirteenth, science, department science, hissar, hissar group"
baseline_remove_short,5,keep_short,4,0.5384615384615384,0.8333333333333334,0.6858974358974359,"1957, 1958, section, bye, 1954, central, board, 1959, 1955, 1956","act, 1957, 1958, section, bye, central, state, 1954, 1959, 1953"
baseline_remove_short,6,keep_short,6,0.5714285714285714,0.7272727272727273,0.6493506493506493,"2010, 2012, 2011, 2009, 2013, department, rules 2010, delay, rules 2009, karunakaran","2010, 2012, 2011, 2009, 2013, gsr, 2010 gsr, 2009 gsr, department, rules 2010"
baseline_remove_short,16,keep_short,8,0.6153846153846154,0.631578947368421,0.6234817813765182,"2002, 1997, 1996, 2003, 2000, recruitment, 2001, 1998, 1995, 1999","1997, recruitment, 1996, 2000, 1995, 1998, 2002, recruitment rules, 1999, probation"
baseline_remove_short,14,keep_short,14,0.375,0.8,0.5875,"pension, pension scheme, employees, scheme, option, salary, pension regulations, average, employees pension, bank","pension, rbi, pension scheme, employees, scheme, cpf, option, rbi act, rbi pension, salary"
baseline_remove_short,2,keep_short,2,0.45,0.7142857142857143,0.5821428571428572,"2021, 2022, observations recommendations, 2017, 2020, appellate tribunal, appellant, appellate, rules 2017, recommendations contained","xx, xx xx, 2021, 2017, observations recommendations, 2022, 2020, ombudsman, rules 2017, insurance ombudsman"
baseline_remove_short,10,keep_short,17,0.2857142857142857,0.8333333333333334,0.5595238095238095,"2023, 2022, 2021, regulations, dated 2023, framing, chairperson, rules regulations, national green, green tribunal","2023, 2022, 2021, act, regulations, chairperson, xxx, framing, observations recommendations, xxx xxx"
baseline_remove_short,0,keep_short,0,0.4,0.6923076923076923,0.5461538461538462,"1976, 1975, 1977, 1974, department, 1973, order, rules 1976, retrospective, rules 1975","1977, 1976, 1975, department, 1978, 1974, act, recruitment, service, order"
baseline_remove_short,12,keep_short,9,0.5,0.5777777777777777,0.5388888888888889,"1978, 1980, 1979, department, 1983, 1981, 1982, recruitment, rules 1978, service","tbe, 1983, 1980, 1978, 1982, 1981, 1984, 1979, department, 1985"
baseline_remove_short,1,keep_short,15,0.4375,0.631578947368421,0.5345394736842105,"2008, rules 2008, 2010, 2009, 2007, 2005, 2006, competition, delay, chairman","2008, rules 2008, 2008 gsr, 2010, competition, 2009, 2011, electronics, chairman, karunakaran"
baseline_remove_short,19,keep_short,2,0.2857142857142857,0.14285714285714285,0.21428571428571427,"ombudsman, insurance ombudsman, insurance, ombudsman rules, rules 2017, insurers, 2017, complaints, ecoi, department financial","xx, xx xx, 2021, 2017, observations recommendations, 2022, 2020, ombudsman, rules 2017, insurance ombudsman"
baseline_remove_short,15,keep_short,19,0.11538461538461539,0.12,0.1176923076923077,"information technology, technology, information, 2013, communications information, money laundering, laundering, cyber, prevention money, technology department","waste, 2017, 2016, act, real estate, aiims, waste management, information technology, 2018, auction"
