left_variant,left_topic,right_variant,right_topic,keyword_jaccard_top_terms,document_jaccard_assignments,combined_score,left_keywords,right_keywords
baseline_remove_short,7,keep_short_remove_years,5,1.0,1.0,1.0,"tobacco, tobacco products, cigarettes, bidi, health, warnings, products, smoking, warning, beedi","tobacco, tobacco products, cigarettes, bidi, health, warnings, products, smoking, beedi, warning"
baseline_remove_short,9,keep_short_remove_years,7,1.0,0.8,0.9,"medical, ayush, council, ayurveda, homeopathy, medicine, colleges, students, doctors, medical council","medical, ayush, ayurveda, council, homeopathy, medicine, colleges, students, medical council, doctors"
baseline_remove_short,4,keep_short_remove_years,1,0.6666666666666666,0.8461538461538461,0.7564102564102564,"2014, recruitment, recruitment rules, 2013, group, tasking, multi tasking, 2015, tasking staff, posts","recruitment, recruitment rules, tasking, multi tasking, tasking staff, multi, posts, group, post, xx"
baseline_remove_short,14,keep_short_remove_years,10,0.375,0.8,0.5875,"pension, pension scheme, employees, scheme, option, salary, pension regulations, average, employees pension, bank","pension, rbi, pension scheme, employees, scheme, cpf, option, rbi act, rbi pension, salary"
baseline_remove_short,13,keep_short_remove_years,15,0.5882352941176471,0.5714285714285714,0.5798319327731092,"2016, irdai, regulations, regulations 2016, insurance, solvency, actuary, appointed actuary, solvency margin, regulatory development","irdai, insurance, ombudsman, regulations, insurance ombudsman, insurance regulatory, regulatory development, solvency, actuary, appointed actuary"
baseline_remove_short,3,keep_short_remove_years,4,0.3125,0.6785714285714286,0.4955357142857143,"1992, 1991, 1993, surface, port, surface transport, 1994, rules 1992, transport, regulations","port, surface, surface transport, transport, gsr, regulations, port trust, trust, regulation, employees"
baseline_remove_short,8,keep_short_remove_years,3,0.4090909090909091,0.5714285714285714,0.4902597402597403,"2004, contained thirteenth, rules 2004, 2010, science technology, thirteenth, 2004 2004, 2005, department science, science","contained thirteenth, science technology, thirteenth, science, department science, hissar, hissar group, technology, technical rules, taken recommendations"
baseline_remove_short,17,keep_short_remove_years,12,0.5,0.4444444444444444,0.4722222222222222,"customs, commissioner customs, 2018, commissioner, manifest, regulations 2018, 2021, transhipment, regulations, carrier","customs, commissioner customs, commissioner, manifest, transhipment, carrier, regulations, xx, cargo, authorised carrier"
baseline_remove_short,5,keep_short_remove_years,2,0.23529411764705882,0.675,0.45514705882352946,"1957, 1958, section, bye, 1954, central, board, 1959, 1955, 1956","act, bye, board, central, cantonment, section, bye laws, order, state, orders"
baseline_remove_short,2,keep_short_remove_years,16,0.2608695652173913,0.55,0.4054347826086957,"2021, 2022, observations recommendations, 2017, 2020, appellate tribunal, appellant, appellate, rules 2017, recommendations contained","xx, xx xx, observations recommendations, chairperson, seventeenth, recommendations contained, nil, 2021, observations, beas management"
baseline_remove_short,16,keep_short_remove_years,9,0.05,0.6388888888888888,0.34444444444444444,"2002, 1997, 1996, 2003, 2000, recruitment, 2001, 1998, 1995, 1999","recruitment, recruitment rules, probation, direct recruits, promotees, recruits, gsr, group, contract, direct"
baseline_remove_short,0,keep_short_remove_years,0,0.15789473684210525,0.5,0.32894736842105265,"1976, 1975, 1977, 1974, department, 1973, order, rules 1976, retrospective, rules 1975","department, recruitment, act, service, order, central, recruitment rules, early, amend, effect"
baseline_remove_short,6,keep_short_remove_years,18,0.047619047619047616,0.4583333333333333,0.25297619047619047,"2010, 2012, 2011, 2009, 2013, department, rules 2010, delay, rules 2009, karunakaran","natural gas, gas, petroleum natural, petroleum, tariff, natural, 2012, pipeline, gas regulatory, gas pipeline"
baseline_remove_short,1,keep_short_remove_years,8,0.09523809523809523,0.36666666666666664,0.23095238095238094,"2008, rules 2008, 2010, 2009, 2007, 2005, 2006, competition, delay, chairman","delay, gsr, notification, publication, amendment rules, xx, department, laid, final, table"
baseline_remove_short,18,keep_short_remove_years,13,0.2,0.23684210526315788,0.21842105263157896,"waste, 2017, 2016, real estate, 2018, rera, aiims, estate, real, waste management","act, section, framing, framed, regulations, national, framing rules, real estate, aiims, rules regulations"
baseline_remove_short,12,keep_short_remove_years,0,0.2222222222222222,0.2077922077922078,0.215007215007215,"1978, 1980, 1979, department, 1983, 1981, 1982, recruitment, rules 1978, service","department, recruitment, act, service, order, central, recruitment rules, early, amend, effect"
baseline_remove_short,10,keep_short_remove_years,13,0.21739130434782608,0.21212121212121213,0.2147562582345191,"2023, 2022, 2021, regulations, dated 2023, framing, chairperson, rules regulations, national green, green tribunal","act, section, framing, framed, regulations, national, framing rules, real estate, aiims, rules regulations"
baseline_remove_short,19,keep_short_remove_years,15,0.13043478260869565,0.2857142857142857,0.2080745341614907,"ombudsman, insurance ombudsman, insurance, ombudsman rules, rules 2017, insurers, 2017, complaints, ecoi, department financial","irdai, insurance, ombudsman, regulations, insurance ombudsman, insurance regulatory, regulatory development, solvency, actuary, appointed actuary"
baseline_remove_short,11,keep_short_remove_years,0,0.15789473684210525,0.17391304347826086,0.16590389016018306,"1969, 1968, 1971, 1970, service, rules 1969, 1972, railway, 1967, recruitment","department, recruitment, act, service, order, central, recruitment rules, early, amend, effect"
baseline_remove_short,15,keep_short_remove_years,17,0.13043478260869565,0.16666666666666666,0.14855072463768115,"information technology, technology, information, 2013, communications information, money laundering, laundering, cyber, prevention money, technology department","waste, waste management, recycling, management, environment, technology, information technology, pollution control, recyclers, pollution"
