variant,model_type,topic,rank,keyword,weight
documented_clean_final,NMF_FALLBACK,0,1,act,0.3906506269606946
documented_clean_final,NMF_FALLBACK,0,2,recruitment,0.36412293793134903
documented_clean_final,NMF_FALLBACK,0,3,service,0.3532189226064941
documented_clean_final,NMF_FALLBACK,0,4,order,0.32184385700745766
documented_clean_final,NMF_FALLBACK,0,5,recruitment rules,0.2630747282848486
documented_clean_final,NMF_FALLBACK,0,6,early,0.2535261019740514
documented_clean_final,NMF_FALLBACK,0,7,date,0.24269202128777756
documented_clean_final,NMF_FALLBACK,0,8,amend,0.2422548409090635
documented_clean_final,NMF_FALLBACK,0,9,effect,0.24112366770719643
documented_clean_final,NMF_FALLBACK,0,10,desire,0.2340180970737396
documented_clean_final,NMF_FALLBACK,0,11,retrospective,0.23356286035130025
documented_clean_final,NMF_FALLBACK,0,12,fifth,0.22917758094705487
documented_clean_final,NMF_FALLBACK,0,13,law,0.21999175705675889
documented_clean_final,NMF_FALLBACK,0,14,affairs,0.21424390031799356
documented_clean_final,NMF_FALLBACK,0,15,early date,0.21240851753702694
documented_clean_final,NMF_FALLBACK,0,16,company,0.20920039046150746
documented_clean_final,NMF_FALLBACK,0,17,shipping,0.20900560679287805
documented_clean_final,NMF_FALLBACK,0,18,class,0.2056520423707199
documented_clean_final,NMF_FALLBACK,0,19,sub,0.20449470892977348
documented_clean_final,NMF_FALLBACK,0,20,indian,0.20266750647216789
documented_clean_final,NMF_FALLBACK,1,1,recruitment,0.4916557341391825
documented_clean_final,NMF_FALLBACK,1,2,recruitment rules,0.42666413420116356
documented_clean_final,NMF_FALLBACK,1,3,tasking,0.3132340070560016
documented_clean_final,NMF_FALLBACK,1,4,multi tasking,0.3132340070560016
documented_clean_final,NMF_FALLBACK,1,5,tasking staff,0.3082960335736952
documented_clean_final,NMF_FALLBACK,1,6,posts,0.3056896199504977
documented_clean_final,NMF_FALLBACK,1,7,group,0.29896496181633864
documented_clean_final,NMF_FALLBACK,1,8,multi,0.276469239348313
documented_clean_final,NMF_FALLBACK,1,9,post,0.27137220190910233
documented_clean_final,NMF_FALLBACK,1,10,xx,0.2521841467427153
documented_clean_final,NMF_FALLBACK,1,11,xx xx,0.24453034567834164
documented_clean_final,NMF_FALLBACK,1,12,year,0.23011184670624765
documented_clean_final,NMF_FALLBACK,1,13,gsr,0.219238804006494
documented_clean_final,NMF_FALLBACK,1,14,rules gsr,0.20640608074740227
documented_clean_final,NMF_FALLBACK,1,15,laboratory,0.19740845610828564
documented_clean_final,NMF_FALLBACK,1,16,probation,0.19217916874427632
documented_clean_final,NMF_FALLBACK,1,17,short title,0.1849885714274483
documented_clean_final,NMF_FALLBACK,1,18,defence,0.1751833133145078
documented_clean_final,NMF_FALLBACK,1,19,title,0.174799093123953
documented_clean_final,NMF_FALLBACK,1,20,grade,0.1720291857715846
documented_clean_final,NMF_FALLBACK,2,1,act,0.7926013726052299
documented_clean_final,NMF_FALLBACK,2,2,framing,0.25839104328683893
documented_clean_final,NMF_FALLBACK,2,3,framed,0.23097189267643883
documented_clean_final,NMF_FALLBACK,2,4,national,0.21782314225172048
documented_clean_final,NMF_FALLBACK,2,5,real estate,0.2137856974655094
documented_clean_final,NMF_FALLBACK,2,6,aiims,0.20545737979038228
documented_clean_final,NMF_FALLBACK,2,7,framing rules,0.18592377561775617
documented_clean_final,NMF_FALLBACK,2,8,delay,0.18082689399373442
documented_clean_final,NMF_FALLBACK,2,9,laid,0.17851291606139383
